Entity,Category,System,Suggested_Query,Recommended_Filters,Red_Flag_Terms,Next_Step
Center for Naval Analyses (CNA),DoD/IC FFRDC,USAspending (Award → Mod History),"Awardee = ""Center for Naval Analyses (CNA)"" (or filter by PIID/IDV) → review Mod Reason/Narrative for GFP/IUID/Novation; export modification history",FY2010–present; bind around M&A/org churn,GFP; FAR 52.245-1; IUID/UID; DFARS 252.211-7003; Novation/Change-of-Name FAR 42.12/42.1204; DD 254; DoDM 5205.07; ICS/ICD 705; JSIG; SAPF/SCIF; J&A FAR 6.3; D&F FAR 1.7; UEI/DUNS/CAGE crosswalk,Export artifacts; score with escalation matrix; promote ≥6 to FOIA
Center for Naval Analyses (CNA),DoD/IC FFRDC,FPDS (legacy ezSearch),"""Center for Naval Analyses (CNA)"" in ezSearch; inspect PIID/IDV structure; pull SF-30 mod list and clause text",Legacy → clause text & SF-30 mod list,GFP; FAR 52.245-1; IUID/UID; DFARS 252.211-7003; Novation/Change-of-Name FAR 42.12/42.1204; DD 254; DoDM 5205.07; ICS/ICD 705; JSIG; SAPF/SCIF; J&A FAR 6.3; D&F FAR 1.7; UEI/DUNS/CAGE crosswalk,Export artifacts; score with escalation matrix; promote ≥6 to FOIA
Center for Naval Analyses (CNA),DoD/IC FFRDC,GAO Bid Protests,"""Center for Naval Analyses (CNA)"" AND (protest OR sustain OR deny)",Pull docket → crosswalk PIID & J&A logic,J&A; timeline anchors; evaluation factors,Export artifacts; score with escalation matrix; promote ≥6 to FOIA
Center for Naval Analyses (CNA),DoD/IC FFRDC,SEC EDGAR (8-K/10-K/Exhibits),"""Center for Naval Analyses (CNA)"" AND (acquisition OR asset transfer OR novation OR government OR ""U.S. government"")",M&A windows ±180 days,novation schedules; segment moves; facility notes,Export artifacts; score with escalation matrix; promote ≥6 to FOIA
Center for Naval Analyses (CNA),DoD/IC FFRDC,Delaware SOS (Entity Search),"""Center for Naval Analyses (CNA)""",Around mod clusters / novations,conversions; mergers; name changes,Export artifacts; score with escalation matrix; promote ≥6 to FOIA
Center for Naval Analyses (CNA),DoD/IC FFRDC,IRS 990 (if applicable),"""Center for Naval Analyses (CNA)"" site:irs.gov OR site:propublica.org",Universities/foundations only,program service revenue; related orgs,Export artifacts; score with escalation matrix; promote ≥6 to FOIA
Center for Naval Analyses (CNA),DoD/IC FFRDC,Jobs Telemetry,"""Center for Naval Analyses (CNA)"" AND (""TS/SCI"" OR polygraph OR SAPF OR SCIF OR GEOINT OR ""SE&I"") site:clearancejobs.com OR site:linkedin.com OR site:workdayjobs.com",Last 5–7 yrs,TS/SCI poly; SAPF build-outs; GEOINT SE&I spikes,Export artifacts; score with escalation matrix; promote ≥6 to FOIA
RAND Corporation,DoD/IC FFRDC,SAM.gov (Awards & Attachments),"(""special tooling"" OR ""special test equipment"" OR GFP OR 52.245-1 OR ""DD Form 254"" OR DoDM 5205.07 OR JSIG OR ""ICS 705"" OR SAPF OR SCIF) AND ""RAND Corporation""",FY2010–present; Award→Attchs; Data Bank export,GFP; FAR 52.245-1; IUID/UID; DFARS 252.211-7003; Novation/Change-of-Name FAR 42.12/42.1204; DD 254; DoDM 5205.07; ICS/ICD 705; JSIG; SAPF/SCIF; J&A FAR 6.3; D&F FAR 1.7; UEI/DUNS/CAGE crosswalk,Export artifacts; score with escalation matrix; promote ≥6 to FOIA
RAND Corporation,DoD/IC FFRDC,USAspending (Award → Mod History),"Awardee = ""RAND Corporation"" (or filter by PIID/IDV) → review Mod Reason/Narrative for GFP/IUID/Novation; export modification history",FY2010–present; bind around M&A/org churn,GFP; FAR 52.245-1; IUID/UID; DFARS 252.211-7003; Novation/Change-of-Name FAR 42.12/42.1204; DD 254; DoDM 5205.07; ICS/ICD 705; JSIG; SAPF/SCIF; J&A FAR 6.3; D&F FAR 1.7; UEI/DUNS/CAGE crosswalk,Export artifacts; score with escalation matrix; promote ≥6 to FOIA
RAND Corporation,DoD/IC FFRDC,FPDS (legacy ezSearch),"""RAND Corporation"" in ezSearch; inspect PIID/IDV structure; pull SF-30 mod list and clause text",Legacy → clause text & SF-30 mod list,GFP; FAR 52.245-1; IUID/UID; DFARS 252.211-7003; Novation/Change-of-Name FAR 42.12/42.1204; DD 254; DoDM 5205.07; ICS/ICD 705; JSIG; SAPF/SCIF; J&A FAR 6.3; D&F FAR 1.7; UEI/DUNS/CAGE crosswalk,Export artifacts; score with escalation matrix; promote ≥6 to FOIA
RAND Corporation,DoD/IC FFRDC,GAO Bid Protests,"""RAND Corporation"" AND (protest OR sustain OR deny)",Pull docket → crosswalk PIID & J&A logic,J&A; timeline anchors; evaluation factors,Export artifacts; score with escalation matrix; promote ≥6 to FOIA
RAND Corporation,DoD/IC FFRDC,SEC EDGAR (8-K/10-K/Exhibits),"""RAND Corporation"" AND (acquisition OR asset transfer OR novation OR government OR ""U.S. government"")",M&A windows ±180 days,novation schedules; segment moves; facility notes,Export artifacts; score with escalation matrix; promote ≥6 to FOIA
RAND Corporation,DoD/IC FFRDC,Delaware SOS (Entity Search),"""RAND Corporation""",Around mod clusters / novations,conversions; mergers; name changes,Export artifacts; score with escalation matrix; promote ≥6 to FOIA
RAND Corporation,DoD/IC FFRDC,IRS 990 (if applicable),"""RAND Corporation"" site:irs.gov OR site:propublica.org",Universities/foundations only,program service revenue; related orgs,Export artifacts; score with escalation matrix; promote ≥6 to FOIA
RAND Corporation,DoD/IC FFRDC,Jobs Telemetry,"""RAND Corporation"" AND (""TS/SCI"" OR polygraph OR SAPF OR SCIF OR GEOINT OR ""SE&I"") site:clearancejobs.com OR site:linkedin.com OR site:workdayjobs.com",Last 5–7 yrs,TS/SCI poly; SAPF build-outs; GEOINT SE&I spikes,Export artifacts; score with escalation matrix; promote ≥6 to FOIA
Jet Propulsion Laboratory (JPL),NASA/FFRDC,SAM.gov (Awards & Attachments),"(""special tooling"" OR ""special test equipment"" OR GFP OR 52.245-1 OR ""DD Form 254"" OR DoDM 5205.07 OR JSIG OR ""ICS 705"" OR SAPF OR SCIF) AND ""Jet Propulsion Laboratory (JPL)""",FY2010–present; Award→Attchs; Data Bank export,GFP; FAR 52.245-1; IUID/UID; DFARS 252.211-7003; Novation/Change-of-Name FAR 42.12/42.1204; DD 254; DoDM 5205.07; ICS/ICD 705; JSIG; SAPF/SCIF; J&A FAR 6.3; D&F FAR 1.7; UEI/DUNS/CAGE crosswalk,Export artifacts; score with escalation matrix; promote ≥6 to FOIA
Jet Propulsion Laboratory (JPL),NASA/FFRDC,USAspending (Award → Mod History),"Awardee = ""Jet Propulsion Laboratory (JPL)"" (or filter by PIID/IDV) → review Mod Reason/Narrative for GFP/IUID/Novation; export modification history",FY2010–present; bind around M&A/org churn,GFP; FAR 52.245-1; IUID/UID; DFARS 252.211-7003; Novation/Change-of-Name FAR 42.12/42.1204; DD 254; DoDM 5205.07; ICS/ICD 705; JSIG; SAPF/SCIF; J&A FAR 6.3; D&F FAR 1.7; UEI/DUNS/CAGE crosswalk,Export artifacts; score with escalation matrix; promote ≥6 to FOIA
Jet Propulsion Laboratory (JPL),NASA/FFRDC,FPDS (legacy ezSearch),"""Jet Propulsion Laboratory (JPL)"" in ezSearch; inspect PIID/IDV structure; pull SF-30 mod list and clause text",Legacy → clause text & SF-30 mod list,GFP; FAR 52.245-1; IUID/UID; DFARS 252.211-7003; Novation/Change-of-Name FAR 42.12/42.1204; DD 254; DoDM 5205.07; ICS/ICD 705; JSIG; SAPF/SCIF; J&A FAR 6.3; D&F FAR 1.7; UEI/DUNS/CAGE crosswalk,Export artifacts; score with escalation matrix; promote ≥6 to FOIA
Jet Propulsion Laboratory (JPL),NASA/FFRDC,GAO Bid Protests,"""Jet Propulsion Laboratory (JPL)"" AND (protest OR sustain OR deny)",Pull docket → crosswalk PIID & J&A logic,J&A; timeline anchors; evaluation factors,Export artifacts; score with escalation matrix; promote ≥6 to FOIA
Jet Propulsion Laboratory (JPL),NASA/FFRDC,SEC EDGAR (8-K/10-K/Exhibits),"""Jet Propulsion Laboratory (JPL)"" AND (acquisition OR asset transfer OR novation OR government OR ""U.S. government"")",M&A windows ±180 days,novation schedules; segment moves; facility notes,Export artifacts; score with escalation matrix; promote ≥6 to FOIA
Jet Propulsion Laboratory (JPL),NASA/FFRDC,Delaware SOS (Entity Search),"""Jet Propulsion Laboratory (JPL)""",Around mod clusters / novations,conversions; mergers; name changes,Export artifacts; score with escalation matrix; promote ≥6 to FOIA
Jet Propulsion Laboratory (JPL),NASA/FFRDC,IRS 990 (if applicable),"""Jet Propulsion Laboratory (JPL)"" site:irs.gov OR site:propublica.org",Universities/foundations only,program service revenue; related orgs,Export artifacts; score with escalation matrix; promote ≥6 to FOIA
Jet Propulsion Laboratory (JPL),NASA/FFRDC,Jobs Telemetry,"""Jet Propulsion Laboratory (JPL)"" AND (""TS/SCI"" OR polygraph OR SAPF OR SCIF OR GEOINT OR ""SE&I"") site:clearancejobs.com OR site:linkedin.com OR site:workdayjobs.com",Last 5–7 yrs,TS/SCI poly; SAPF build-outs; GEOINT SE&I spikes,Export artifacts; score with escalation matrix; promote ≥6 to FOIA
Jet Propulsion Laboratory (JPL),NASA/FFRDC,NRC ADAMS,"""Jet Propulsion Laboratory (JPL)"" OR site address; filter Part 71, Type B(U), sealed source, license scope changes, temp jobsite approvals",Licenses/Part 71/shipments,sealed source; Type B(U); temp jobsite approvals,Capture docket/permit IDs; link to PIIDs if visible
Jet Propulsion Laboratory (JPL),NASA/FFRDC,DOE OpenNet,"""Jet Propulsion Laboratory (JPL)"" OR site/campus name; filter for unclassified tech reports with relevant keywords",Unclass tech reports,glovebox; hot cell; shielding materials,Capture docket/permit IDs; link to PIIDs if visible
Jet Propulsion Laboratory (JPL),NASA/FFRDC,FRPP (Real Property),"""Jet Propulsion Laboratory (JPL)"" OR site/campus name in FRPP; compare YOY adds/removals/status/mission use",YOY property deltas,mission use; status change; new facility,Capture docket/permit IDs; link to PIIDs if visible
Jet Propulsion Laboratory (JPL),NASA/FFRDC,PHMSA Approvals/Special Permits,"""Jet Propulsion Laboratory (JPL)"" AND (""Special Permit"" OR ""Type A"" OR ""Type B(U)"" OR UN 2915 OR UN 2916) site:phmsa.dot.gov",Shipments/packaging,Type A/B(U); UN 2915; UN 2916,Capture docket/permit IDs; link to PIIDs if visible
Jet Propulsion Laboratory (JPL),NASA/FFRDC,Regents/Trustees Agendas,"""Jet Propulsion Laboratory (JPL)"" AND (radiological OR ""hot cell"" OR glovebox OR ""shielded window"" OR ""lead-lined"" OR ""Class 7 door"" OR ""neutron shielding"" OR ""borated polyethylene"")",Board approvals,radiological lab reno; shielding,Capture docket/permit IDs; link to PIIDs if visible
Jet Propulsion Laboratory (JPL),NASA/FFRDC,City/County Permits,"""Jet Propulsion Laboratory (JPL)"" AND (building permit OR radiation OR SCIF OR SAPF OR classified) site:.gov",Permit portals,SCIF/SAPF construction; radiation work areas,Capture docket/permit IDs; link to PIIDs if visible
Johns Hopkins Applied Physics Laboratory (APL),UARC,SAM.gov (Awards & Attachments),"(""special tooling"" OR ""special test equipment"" OR GFP OR 52.245-1 OR ""DD Form 254"" OR DoDM 5205.07 OR JSIG OR ""ICS 705"" OR SAPF OR SCIF) AND ""Johns Hopkins Applied Physics Laboratory (APL)""",FY2010–present; Award→Attchs; Data Bank export,GFP; FAR 52.245-1; IUID/UID; DFARS 252.211-7003; Novation/Change-of-Name FAR 42.12/42.1204; DD 254; DoDM 5205.07; ICS/ICD 705; JSIG; SAPF/SCIF; J&A FAR 6.3; D&F FAR 1.7; UEI/DUNS/CAGE crosswalk,Export artifacts; score with escalation matrix; promote ≥6 to FOIA
Johns Hopkins Applied Physics Laboratory (APL),UARC,USAspending (Award → Mod History),"Awardee = ""Johns Hopkins Applied Physics Laboratory (APL)"" (or filter by PIID/IDV) → review Mod Reason/Narrative for GFP/IUID/Novation; export modification history",FY2010–present; bind around M&A/org churn,GFP; FAR 52.245-1; IUID/UID; DFARS 252.211-7003; Novation/Change-of-Name FAR 42.12/42.1204; DD 254; DoDM 5205.07; ICS/ICD 705; JSIG; SAPF/SCIF; J&A FAR 6.3; D&F FAR 1.7; UEI/DUNS/CAGE crosswalk,Export artifacts; score with escalation matrix; promote ≥6 to FOIA
Johns Hopkins Applied Physics Laboratory (APL),UARC,FPDS (legacy ezSearch),"""Johns Hopkins Applied Physics Laboratory (APL)"" in ezSearch; inspect PIID/IDV structure; pull SF-30 mod list and clause text",Legacy → clause text & SF-30 mod list,GFP; FAR 52.245-1; IUID/UID; DFARS 252.211-7003; Novation/Change-of-Name FAR 42.12/42.1204; DD 254; DoDM 5205.07; ICS/ICD 705; JSIG; SAPF/SCIF; J&A FAR 6.3; D&F FAR 1.7; UEI/DUNS/CAGE crosswalk,Export artifacts; score with escalation matrix; promote ≥6 to FOIA
Johns Hopkins Applied Physics Laboratory (APL),UARC,GAO Bid Protests,"""Johns Hopkins Applied Physics Laboratory (APL)"" AND (protest OR sustain OR deny)",Pull docket → crosswalk PIID & J&A logic,J&A; timeline anchors; evaluation factors,Export artifacts; score with escalation matrix; promote ≥6 to FOIA
Johns Hopkins Applied Physics Laboratory (APL),UARC,SEC EDGAR (8-K/10-K/Exhibits),"""Johns Hopkins Applied Physics Laboratory (APL)"" AND (acquisition OR asset transfer OR novation OR government OR ""U.S. government"")",M&A windows ±180 days,novation schedules; segment moves; facility notes,Export artifacts; score with escalation matrix; promote ≥6 to FOIA
Johns Hopkins Applied Physics Laboratory (APL),UARC,Delaware SOS (Entity Search),"""Johns Hopkins Applied Physics Laboratory (APL)""",Around mod clusters / novations,conversions; mergers; name changes,Export artifacts; score with escalation matrix; promote ≥6 to FOIA
Johns Hopkins Applied Physics Laboratory (APL),UARC,IRS 990 (if applicable),"""Johns Hopkins Applied Physics Laboratory (APL)"" site:irs.gov OR site:propublica.org",Universities/foundations only,program service revenue; related orgs,Export artifacts; score with escalation matrix; promote ≥6 to FOIA
Johns Hopkins Applied Physics Laboratory (APL),UARC,Jobs Telemetry,"""Johns Hopkins Applied Physics Laboratory (APL)"" AND (""TS/SCI"" OR polygraph OR SAPF OR SCIF OR GEOINT OR ""SE&I"") site:clearancejobs.com OR site:linkedin.com OR site:workdayjobs.com",Last 5–7 yrs,TS/SCI poly; SAPF build-outs; GEOINT SE&I spikes,Export artifacts; score with escalation matrix; promote ≥6 to FOIA
Johns Hopkins Applied Physics Laboratory (APL),UARC,Regents/Trustees Agendas,"""Johns Hopkins Applied Physics Laboratory (APL)"" AND (radiological OR ""hot cell"" OR glovebox OR ""shielded window"" OR ""lead-lined"" OR ""Class 7 door"" OR ""neutron shielding"" OR ""borated polyethylene"")",Board approvals,lab reno; shielding; classified areas,Match agenda/permit dates to award mods
Johns Hopkins Applied Physics Laboratory (APL),UARC,City/County Permits,"""Johns Hopkins Applied Physics Laboratory (APL)"" AND (building permit OR radiation OR SCIF OR SAPF OR classified) site:.gov",Permit portals,SCIF/SAPF; radiation areas; special doors,Match agenda/permit dates to award mods
"Applied Research Laboratories, The University of Texas at Austin (ARL:UT)",UARC,SAM.gov (Awards & Attachments),"(""special tooling"" OR ""special test equipment"" OR GFP OR 52.245-1 OR ""DD Form 254"" OR DoDM 5205.07 OR JSIG OR ""ICS 705"" OR SAPF OR SCIF) AND ""Applied Research Laboratories, The University of Texas at Austin (ARL:UT)""",FY2010–present; Award→Attchs; Data Bank export,GFP; FAR 52.245-1; IUID/UID; DFARS 252.211-7003; Novation/Change-of-Name FAR 42.12/42.1204; DD 254; DoDM 5205.07; ICS/ICD 705; JSIG; SAPF/SCIF; J&A FAR 6.3; D&F FAR 1.7; UEI/DUNS/CAGE crosswalk,Export artifacts; score with escalation matrix; promote ≥6 to FOIA
"Applied Research Laboratories, The University of Texas at Austin (ARL:UT)",UARC,USAspending (Award → Mod History),"Awardee = ""Applied Research Laboratories, The University of Texas at Austin (ARL:UT)"" (or filter by PIID/IDV) → review Mod Reason/Narrative for GFP/IUID/Novation; export modification history",FY2010–present; bind around M&A/org churn,GFP; FAR 52.245-1; IUID/UID; DFARS 252.211-7003; Novation/Change-of-Name FAR 42.12/42.1204; DD 254; DoDM 5205.07; ICS/ICD 705; JSIG; SAPF/SCIF; J&A FAR 6.3; D&F FAR 1.7; UEI/DUNS/CAGE crosswalk,Export artifacts; score with escalation matrix; promote ≥6 to FOIA
"Applied Research Laboratories, The University of Texas at Austin (ARL:UT)",UARC,FPDS (legacy ezSearch),"""Applied Research Laboratories, The University of Texas at Austin (ARL:UT)"" in ezSearch; inspect PIID/IDV structure; pull SF-30 mod list and clause text",Legacy → clause text & SF-30 mod list,GFP; FAR 52.245-1; IUID/UID; DFARS 252.211-7003; Novation/Change-of-Name FAR 42.12/42.1204; DD 254; DoDM 5205.07; ICS/ICD 705; JSIG; SAPF/SCIF; J&A FAR 6.3; D&F FAR 1.7; UEI/DUNS/CAGE crosswalk,Export artifacts; score with escalation matrix; promote ≥6 to FOIA
"Applied Research Laboratories, The University of Texas at Austin (ARL:UT)",UARC,GAO Bid Protests,"""Applied Research Laboratories, The University of Texas at Austin (ARL:UT)"" AND (protest OR sustain OR deny)",Pull docket → crosswalk PIID & J&A logic,J&A; timeline anchors; evaluation factors,Export artifacts; score with escalation matrix; promote ≥6 to FOIA
"Applied Research Laboratories, The University of Texas at Austin (ARL:UT)",UARC,SEC EDGAR (8-K/10-K/Exhibits),"""Applied Research Laboratories, The University of Texas at Austin (ARL:UT)"" AND (acquisition OR asset transfer OR novation OR government OR ""U.S. government"")",M&A windows ±180 days,novation schedules; segment moves; facility notes,Export artifacts; score with escalation matrix; promote ≥6 to FOIA
"Applied Research Laboratories, The University of Texas at Austin (ARL:UT)",UARC,Delaware SOS (Entity Search),"""Applied Research Laboratories, The University of Texas at Austin (ARL:UT)""",Around mod clusters / novations,conversions; mergers; name changes,Export artifacts; score with escalation matrix; promote ≥6 to FOIA
"Applied Research Laboratories, The University of Texas at Austin (ARL:UT)",UARC,IRS 990 (if applicable),"""Applied Research Laboratories, The University of Texas at Austin (ARL:UT)"" site:irs.gov OR site:propublica.org",Universities/foundations only,program service revenue; related orgs,Export artifacts; score with escalation matrix; promote ≥6 to FOIA
"Applied Research Laboratories, The University of Texas at Austin (ARL:UT)",UARC,Jobs Telemetry,"""Applied Research Laboratories, The University of Texas at Austin (ARL:UT)"" AND (""TS/SCI"" OR polygraph OR SAPF OR SCIF OR GEOINT OR ""SE&I"") site:clearancejobs.com OR site:linkedin.com OR site:workdayjobs.com",Last 5–7 yrs,TS/SCI poly; SAPF build-outs; GEOINT SE&I spikes,Export artifacts; score with escalation matrix; promote ≥6 to FOIA
"Applied Research Laboratories, The University of Texas at Austin (ARL:UT)",UARC,Regents/Trustees Agendas,"""Applied Research Laboratories, The University of Texas at Austin (ARL:UT)"" AND (radiological OR ""hot cell"" OR glovebox OR ""shielded window"" OR ""lead-lined"" OR ""Class 7 door"" OR ""neutron shielding"" OR ""borated polyethylene"")",Board approvals,lab reno; shielding; classified areas,Match agenda/permit dates to award mods
"Applied Research Laboratories, The University of Texas at Austin (ARL:UT)",UARC,City/County Permits,"""Applied Research Laboratories, The University of Texas at Austin (ARL:UT)"" AND (building permit OR radiation OR SCIF OR SAPF OR classified) site:.gov",Permit portals,SCIF/SAPF; radiation areas; special doors,Match agenda/permit dates to award mods
Penn State Applied Research Laboratory (ARL),UARC,SAM.gov (Awards & Attachments),"(""special tooling"" OR ""special test equipment"" OR GFP OR 52.245-1 OR ""DD Form 254"" OR DoDM 5205.07 OR JSIG OR ""ICS 705"" OR SAPF OR SCIF) AND ""Penn State Applied Research Laboratory (ARL)""",FY2010–present; Award→Attchs; Data Bank export,GFP; FAR 52.245-1; IUID/UID; DFARS 252.211-7003; Novation/Change-of-Name FAR 42.12/42.1204; DD 254; DoDM 5205.07; ICS/ICD 705; JSIG; SAPF/SCIF; J&A FAR 6.3; D&F FAR 1.7; UEI/DUNS/CAGE crosswalk,Export artifacts; score with escalation matrix; promote ≥6 to FOIA
Penn State Applied Research Laboratory (ARL),UARC,USAspending (Award → Mod History),"Awardee = ""Penn State Applied Research Laboratory (ARL)"" (or filter by PIID/IDV) → review Mod Reason/Narrative for GFP/IUID/Novation; export modification history",FY2010–present; bind around M&A/org churn,GFP; FAR 52.245-1; IUID/UID; DFARS 252.211-7003; Novation/Change-of-Name FAR 42.12/42.1204; DD 254; DoDM 5205.07; ICS/ICD 705; JSIG; SAPF/SCIF; J&A FAR 6.3; D&F FAR 1.7; UEI/DUNS/CAGE crosswalk,Export artifacts; score with escalation matrix; promote ≥6 to FOIA
Penn State Applied Research Laboratory (ARL),UARC,FPDS (legacy ezSearch),"""Penn State Applied Research Laboratory (ARL)"" in ezSearch; inspect PIID/IDV structure; pull SF-30 mod list and clause text",Legacy → clause text & SF-30 mod list,GFP; FAR 52.245-1; IUID/UID; DFARS 252.211-7003; Novation/Change-of-Name FAR 42.12/42.1204; DD 254; DoDM 5205.07; ICS/ICD 705; JSIG; SAPF/SCIF; J&A FAR 6.3; D&F FAR 1.7; UEI/DUNS/CAGE crosswalk,Export artifacts; score with escalation matrix; promote ≥6 to FOIA
Penn State Applied Research Laboratory (ARL),UARC,GAO Bid Protests,"""Penn State Applied Research Laboratory (ARL)"" AND (protest OR sustain OR deny)",Pull docket → crosswalk PIID & J&A logic,J&A; timeline anchors; evaluation factors,Export artifacts; score with escalation matrix; promote ≥6 to FOIA
Penn State Applied Research Laboratory (ARL),UARC,SEC EDGAR (8-K/10-K/Exhibits),"""Penn State Applied Research Laboratory (ARL)"" AND (acquisition OR asset transfer OR novation OR government OR ""U.S. government"")",M&A windows ±180 days,novation schedules; segment moves; facility notes,Export artifacts; score with escalation matrix; promote ≥6 to FOIA
Penn State Applied Research Laboratory (ARL),UARC,Delaware SOS (Entity Search),"""Penn State Applied Research Laboratory (ARL)""",Around mod clusters / novations,conversions; mergers; name changes,Export artifacts; score with escalation matrix; promote ≥6 to FOIA
Penn State Applied Research Laboratory (ARL),UARC,IRS 990 (if applicable),"""Penn State Applied Research Laboratory (ARL)"" site:irs.gov OR site:propublica.org",Universities/foundations only,program service revenue; related orgs,Export artifacts; score with escalation matrix; promote ≥6 to FOIA
Penn State Applied Research Laboratory (ARL),UARC,Jobs Telemetry,"""Penn State Applied Research Laboratory (ARL)"" AND (""TS/SCI"" OR polygraph OR SAPF OR SCIF OR GEOINT OR ""SE&I"") site:clearancejobs.com OR site:linkedin.com OR site:workdayjobs.com",Last 5–7 yrs,TS/SCI poly; SAPF build-outs; GEOINT SE&I spikes,Export artifacts; score with escalation matrix; promote ≥6 to FOIA
Penn State Applied Research Laboratory (ARL),UARC,Regents/Trustees Agendas,"""Penn State Applied Research Laboratory (ARL)"" AND (radiological OR ""hot cell"" OR glovebox OR ""shielded window"" OR ""lead-lined"" OR ""Class 7 door"" OR ""neutron shielding"" OR ""borated polyethylene"")",Board approvals,lab reno; shielding; classified areas,Match agenda/permit dates to award mods
Penn State Applied Research Laboratory (ARL),UARC,City/County Permits,"""Penn State Applied Research Laboratory (ARL)"" AND (building permit OR radiation OR SCIF OR SAPF OR classified) site:.gov",Permit portals,SCIF/SAPF; radiation areas; special doors,Match agenda/permit dates to award mods
Georgia Tech Research Institute (GTRI),UARC,SAM.gov (Awards & Attachments),"(""special tooling"" OR ""special test equipment"" OR GFP OR 52.245-1 OR ""DD Form 254"" OR DoDM 5205.07 OR JSIG OR ""ICS 705"" OR SAPF OR SCIF) AND ""Georgia Tech Research Institute (GTRI)""",FY2010–present; Award→Attchs; Data Bank export,GFP; FAR 52.245-1; IUID/UID; DFARS 252.211-7003; Novation/Change-of-Name FAR 42.12/42.1204; DD 254; DoDM 5205.07; ICS/ICD 705; JSIG; SAPF/SCIF; J&A FAR 6.3; D&F FAR 1.7; UEI/DUNS/CAGE crosswalk,Export artifacts; score with escalation matrix; promote ≥6 to FOIA
Georgia Tech Research Institute (GTRI),UARC,USAspending (Award → Mod History),"Awardee = ""Georgia Tech Research Institute (GTRI)"" (or filter by PIID/IDV) → review Mod Reason/Narrative for GFP/IUID/Novation; export modification history",FY2010–present; bind around M&A/org churn,GFP; FAR 52.245-1; IUID/UID; DFARS 252.211-7003; Novation/Change-of-Name FAR 42.12/42.1204; DD 254; DoDM 5205.07; ICS/ICD 705; JSIG; SAPF/SCIF; J&A FAR 6.3; D&F FAR 1.7; UEI/DUNS/CAGE crosswalk,Export artifacts; score with escalation matrix; promote ≥6 to FOIA
Georgia Tech Research Institute (GTRI),UARC,FPDS (legacy ezSearch),"""Georgia Tech Research Institute (GTRI)"" in ezSearch; inspect PIID/IDV structure; pull SF-30 mod list and clause text",Legacy → clause text & SF-30 mod list,GFP; FAR 52.245-1; IUID/UID; DFARS 252.211-7003; Novation/Change-of-Name FAR 42.12/42.1204; DD 254; DoDM 5205.07; ICS/ICD 705; JSIG; SAPF/SCIF; J&A FAR 6.3; D&F FAR 1.7; UEI/DUNS/CAGE crosswalk,Export artifacts; score with escalation matrix; promote ≥6 to FOIA
Georgia Tech Research Institute (GTRI),UARC,GAO Bid Protests,"""Georgia Tech Research Institute (GTRI)"" AND (protest OR sustain OR deny)",Pull docket → crosswalk PIID & J&A logic,J&A; timeline anchors; evaluation factors,Export artifacts; score with escalation matrix; promote ≥6 to FOIA
Georgia Tech Research Institute (GTRI),UARC,SEC EDGAR (8-K/10-K/Exhibits),"""Georgia Tech Research Institute (GTRI)"" AND (acquisition OR asset transfer OR novation OR government OR ""U.S. government"")",M&A windows ±180 days,novation schedules; segment moves; facility notes,Export artifacts; score with escalation matrix; promote ≥6 to FOIA
Georgia Tech Research Institute (GTRI),UARC,Delaware SOS (Entity Search),"""Georgia Tech Research Institute (GTRI)""",Around mod clusters / novations,conversions; mergers; name changes,Export artifacts; score with escalation matrix; promote ≥6 to FOIA
Georgia Tech Research Institute (GTRI),UARC,IRS 990 (if applicable),"""Georgia Tech Research Institute (GTRI)"" site:irs.gov OR site:propublica.org",Universities/foundations only,program service revenue; related orgs,Export artifacts; score with escalation matrix; promote ≥6 to FOIA
Georgia Tech Research Institute (GTRI),UARC,Jobs Telemetry,"""Georgia Tech Research Institute (GTRI)"" AND (""TS/SCI"" OR polygraph OR SAPF OR SCIF OR GEOINT OR ""SE&I"") site:clearancejobs.com OR site:linkedin.com OR site:workdayjobs.com",Last 5–7 yrs,TS/SCI poly; SAPF build-outs; GEOINT SE&I spikes,Export artifacts; score with escalation matrix; promote ≥6 to FOIA
Georgia Tech Research Institute (GTRI),UARC,Regents/Trustees Agendas,"""Georgia Tech Research Institute (GTRI)"" AND (radiological OR ""hot cell"" OR glovebox OR ""shielded window"" OR ""lead-lined"" OR ""Class 7 door"" OR ""neutron shielding"" OR ""borated polyethylene"")",Board approvals,lab reno; shielding; classified areas,Match agenda/permit dates to award mods
Georgia Tech Research Institute (GTRI),UARC,City/County Permits,"""Georgia Tech Research Institute (GTRI)"" AND (building permit OR radiation OR SCIF OR SAPF OR classified) site:.gov",Permit portals,SCIF/SAPF; radiation areas; special doors,Match agenda/permit dates to award mods
University of Washington Applied Physics Laboratory (UW APL),UARC,SAM.gov (Awards & Attachments),"(""special tooling"" OR ""special test equipment"" OR GFP OR 52.245-1 OR ""DD Form 254"" OR DoDM 5205.07 OR JSIG OR ""ICS 705"" OR SAPF OR SCIF) AND ""University of Washington Applied Physics Laboratory (UW APL)""",FY2010–present; Award→Attchs; Data Bank export,GFP; FAR 52.245-1; IUID/UID; DFARS 252.211-7003; Novation/Change-of-Name FAR 42.12/42.1204; DD 254; DoDM 5205.07; ICS/ICD 705; JSIG; SAPF/SCIF; J&A FAR 6.3; D&F FAR 1.7; UEI/DUNS/CAGE crosswalk,Export artifacts; score with escalation matrix; promote ≥6 to FOIA
